run,condition,scenario,trace_path,battery_csv_path,energy_total_mj,battery_energy_valid,battery_current_nonzero_samples,battery_current_nonzero_ratio,avg_current_ma,avg_voltage_v,duration_s,sample_count,avg_power_mw,avg_cpu_freq_mhz,cpu_big_core_pct,cpu_freq_residency_ghz_s,cpu_energy_proxy_score,cpu_energy_proxy_per_s,peak_memory_rss_kb,frame_janks,energy_method,parse_error
4,csr,massive,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_4_csr_massive.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_4_csr_massive.battery.csv,30445.64,True,17,1.0,965.18,3.759,8.3,17,3657.1,,,,,,,,adb_dumpsys_battery_polling,
50,csr,dynamic,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_50_csr_dynamic.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_50_csr_dynamic.battery.csv,6213.29,True,17,1.0,192.0,3.822,8.5,17,733.8,,,,,,,,adb_dumpsys_battery_polling,
51,ssr,static,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_51_ssr_static.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_51_ssr_static.battery.csv,5610.37,True,15,1.0,203.0,3.821,7.2,15,775.7,,,,,,,,adb_dumpsys_battery_polling,
52,ssr,dynamic,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_52_ssr_dynamic.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_52_ssr_dynamic.battery.csv,8250.87,True,16,1.0,270.62,3.817,7.9,16,1038.0,,,,,,,,adb_dumpsys_battery_polling,
53,csr,static,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_53_csr_static.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_53_csr_static.battery.csv,16048.59,True,15,1.0,537.0,3.81,7.8,15,2046.0,,,,,,,,adb_dumpsys_battery_polling,
54,ssr,massive,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_54_ssr_massive.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_54_ssr_massive.battery.csv,5590.35,True,15,1.0,198.0,3.818,7.4,15,756.0,,,,,,,,adb_dumpsys_battery_polling,
55,csr,dynamic,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_55_csr_dynamic.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_55_csr_dynamic.battery.csv,7701.49,True,19,1.0,221.0,3.819,9.1,19,844.0,,,,,,,,adb_dumpsys_battery_polling,
56,ssr,static,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_56_ssr_static.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_56_ssr_static.battery.csv,8669.55,True,18,1.0,260.44,3.818,8.8,18,988.5,,,,,,,,adb_dumpsys_battery_polling,
57,csr,massive,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_57_csr_massive.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_57_csr_massive.battery.csv,40884.2,True,17,1.0,1244.29,3.735,8.7,17,4696.6,,,,,,,,adb_dumpsys_battery_polling,
58,ssr,static,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_58_ssr_static.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_58_ssr_static.battery.csv,5780.31,True,16,1.0,189.0,3.812,8.0,16,720.5,,,,,,,,adb_dumpsys_battery_polling,
59,ssr,dynamic,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_59_ssr_dynamic.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_59_ssr_dynamic.battery.csv,6445.63,True,15,1.0,227.0,3.816,7.4,15,866.2,,,,,,,,adb_dumpsys_battery_polling,
5,ssr,static,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_5_ssr_static.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_5_ssr_static.battery.csv,5591.9,True,15,1.0,197.0,3.84,7.4,15,756.5,,,,,,,,adb_dumpsys_battery_polling,
60,ssr,dynamic,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_60_ssr_dynamic.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_60_ssr_dynamic.battery.csv,6129.16,True,16,1.0,205.0,3.816,7.8,16,782.3,,,,,,,,adb_dumpsys_battery_polling,
6,ssr,dynamic,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_6_ssr_dynamic.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_6_ssr_dynamic.battery.csv,6570.06,True,16,1.0,207.0,3.85,8.2,16,797.0,,,,,,,,adb_dumpsys_battery_polling,
7,csr,dynamic,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_7_csr_dynamic.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_7_csr_dynamic.battery.csv,6569.73,True,17,1.0,204.0,3.849,8.4,17,785.2,,,,,,,,adb_dumpsys_battery_polling,
8,csr,static,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_8_csr_static.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_8_csr_static.battery.csv,9839.73,True,22,1.0,213.59,3.842,12.1,22,814.1,,,,,,,,adb_dumpsys_battery_polling,
9,csr,dynamic,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_9_csr_dynamic.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_9_csr_dynamic.battery.csv,10943.21,True,20,1.0,274.0,3.841,10.4,20,1052.4,,,,,,,,adb_dumpsys_battery_polling,
