timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775050703.062,-198000,3818000,261,2775000,dumpsys_battery
1775050703.720,-198000,3818000,261,2775000,dumpsys_battery
1775050704.210,-198000,3818000,261,2775000,dumpsys_battery
1775050704.751,-198000,3818000,261,2775000,dumpsys_battery
1775050705.200,-198000,3818000,261,2775000,dumpsys_battery
1775050705.705,-198000,3818000,261,2775000,dumpsys_battery
1775050706.117,-198000,3818000,261,2775000,dumpsys_battery
1775050706.781,-198000,3818000,261,2775000,dumpsys_battery
1775050707.351,-198000,3818000,261,2775000,dumpsys_battery
1775050707.885,-198000,3818000,261,2775000,dumpsys_battery
1775050708.501,-198000,3818000,261,2775000,dumpsys_battery
1775050709.077,-198000,3818000,261,2775000,dumpsys_battery
1775050709.507,-198000,3818000,261,2775000,dumpsys_battery
1775050709.935,-198000,3818000,261,2775000,dumpsys_battery
1775050710.457,-198000,3818000,261,2775000,dumpsys_battery
