timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775050173.813,-204000,3824000,261,2825000,dumpsys_battery
1775050174.427,-204000,3824000,261,2825000,dumpsys_battery
1775050174.902,-204000,3824000,261,2825000,dumpsys_battery
1775050175.457,-204000,3824000,261,2825000,dumpsys_battery
1775050175.911,-204000,3824000,261,2825000,dumpsys_battery
1775050176.468,-204000,3824000,261,2825000,dumpsys_battery
1775050176.872,-204000,3824000,261,2825000,dumpsys_battery
1775050177.416,-204000,3824000,261,2825000,dumpsys_battery
1775050178.015,-204000,3824000,261,2825000,dumpsys_battery
1775050178.540,-204000,3824000,261,2825000,dumpsys_battery
1775050179.095,-204000,3824000,261,2825000,dumpsys_battery
1775050179.711,-204000,3824000,261,2825000,dumpsys_battery
1775050180.149,-204000,3824000,261,2825000,dumpsys_battery
1775050180.676,-204000,3824000,261,2825000,dumpsys_battery
1775050181.124,-204000,3824000,261,2825000,dumpsys_battery
1775050181.778,-204000,3824000,261,2825000,dumpsys_battery
1775050182.363,-204000,3824000,261,2825000,dumpsys_battery
