timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775049246.249,-190000,3832000,259,2910000,dumpsys_battery
1775049246.800,-190000,3832000,259,2910000,dumpsys_battery
1775049247.271,-190000,3832000,259,2910000,dumpsys_battery
1775049247.830,-190000,3832000,259,2910000,dumpsys_battery
1775049248.244,-190000,3832000,259,2910000,dumpsys_battery
1775049248.746,-190000,3832000,259,2910000,dumpsys_battery
1775049249.176,-190000,3832000,259,2910000,dumpsys_battery
1775049249.734,-190000,3832000,259,2910000,dumpsys_battery
1775049250.239,-190000,3832000,259,2910000,dumpsys_battery
1775049250.853,-190000,3832000,259,2910000,dumpsys_battery
1775049251.421,-190000,3832000,259,2910000,dumpsys_battery
1775049252.021,-190000,3832000,259,2910000,dumpsys_battery
1775049252.490,-322000,3733000,260,2910000,dumpsys_battery
1775049252.986,-322000,3733000,260,2910000,dumpsys_battery
1775049253.610,-322000,3733000,260,2910000,dumpsys_battery
1775049254.200,-322000,3733000,260,2910000,dumpsys_battery
1775049254.854,-322000,3733000,260,2910000,dumpsys_battery
