timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775048914.828,-188000,3835000,258,2945000,dumpsys_battery
1775048915.411,-188000,3835000,258,2945000,dumpsys_battery
1775048915.872,-188000,3835000,258,2945000,dumpsys_battery
1775048916.396,-188000,3835000,258,2945000,dumpsys_battery
1775048916.862,-188000,3835000,258,2945000,dumpsys_battery
1775048917.347,-188000,3835000,258,2945000,dumpsys_battery
1775048917.800,-188000,3835000,258,2945000,dumpsys_battery
1775048918.246,-188000,3835000,258,2945000,dumpsys_battery
1775048918.800,-188000,3835000,258,2945000,dumpsys_battery
1775048919.359,-188000,3835000,258,2945000,dumpsys_battery
1775048919.889,-188000,3835000,258,2945000,dumpsys_battery
1775048920.375,-188000,3835000,258,2945000,dumpsys_battery
1775048920.843,-188000,3835000,258,2945000,dumpsys_battery
1775048921.297,-188000,3835000,258,2945000,dumpsys_battery
1775048921.805,-266000,3826000,258,2945000,dumpsys_battery
