timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775050108.150,-204000,3825000,261,2830000,dumpsys_battery
1775050108.667,-204000,3825000,261,2830000,dumpsys_battery
1775050109.235,-204000,3825000,261,2830000,dumpsys_battery
1775050109.719,-204000,3825000,261,2830000,dumpsys_battery
1775050110.148,-204000,3825000,261,2830000,dumpsys_battery
1775050110.648,-204000,3825000,261,2830000,dumpsys_battery
1775050111.070,-204000,3825000,261,2830000,dumpsys_battery
1775050111.509,-204000,3825000,261,2830000,dumpsys_battery
1775050112.135,-204000,3825000,261,2830000,dumpsys_battery
1775050112.674,-204000,3825000,261,2830000,dumpsys_battery
1775050113.148,-204000,3825000,261,2830000,dumpsys_battery
1775050113.714,-204000,3825000,261,2830000,dumpsys_battery
1775050114.285,-204000,3825000,261,2830000,dumpsys_battery
1775050114.778,-204000,3825000,261,2830000,dumpsys_battery
1775050115.206,-204000,3825000,261,2830000,dumpsys_battery
1775050115.712,-204000,3825000,261,2830000,dumpsys_battery
