timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775050505.545,-203000,3821000,261,2790000,dumpsys_battery
1775050506.086,-203000,3821000,261,2790000,dumpsys_battery
1775050506.625,-203000,3821000,261,2790000,dumpsys_battery
1775050507.055,-203000,3821000,261,2790000,dumpsys_battery
1775050507.462,-203000,3821000,261,2790000,dumpsys_battery
1775050507.978,-203000,3821000,261,2790000,dumpsys_battery
1775050508.458,-203000,3821000,261,2790000,dumpsys_battery
1775050509.007,-203000,3821000,261,2790000,dumpsys_battery
1775050509.536,-203000,3821000,261,2790000,dumpsys_battery
1775050510.058,-203000,3821000,261,2790000,dumpsys_battery
1775050510.713,-203000,3821000,261,2790000,dumpsys_battery
1775050511.172,-203000,3821000,261,2790000,dumpsys_battery
1775050511.604,-203000,3821000,261,2790000,dumpsys_battery
1775050512.205,-203000,3821000,261,2790000,dumpsys_battery
1775050512.778,-203000,3821000,261,2790000,dumpsys_battery
