timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775048653.006,-207000,3833000,257,2970000,dumpsys_battery
1775048653.645,-207000,3833000,257,2970000,dumpsys_battery
1775048654.125,-207000,3833000,257,2970000,dumpsys_battery
1775048654.691,-207000,3833000,257,2970000,dumpsys_battery
1775048655.123,-207000,3833000,257,2970000,dumpsys_battery
1775048655.536,-207000,3833000,257,2970000,dumpsys_battery
1775048655.988,-207000,3833000,257,2970000,dumpsys_battery
1775048656.482,-207000,3833000,257,2970000,dumpsys_battery
1775048657.024,-207000,3833000,257,2970000,dumpsys_battery
1775048657.511,-207000,3833000,257,2970000,dumpsys_battery
1775048658.043,-207000,3833000,257,2970000,dumpsys_battery
1775048658.537,-207000,3833000,257,2970000,dumpsys_battery
1775048659.037,-207000,3833000,257,2970000,dumpsys_battery
1775048659.478,-207000,3833000,257,2970000,dumpsys_battery
1775048660.100,-207000,3833000,257,2970000,dumpsys_battery
1775048660.604,-207000,3833000,257,2970000,dumpsys_battery
