timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775049909.821,-190000,3827000,260,2855000,dumpsys_battery
1775049910.474,-190000,3827000,260,2855000,dumpsys_battery
1775049911.033,-190000,3827000,260,2855000,dumpsys_battery
1775049911.685,-190000,3827000,260,2855000,dumpsys_battery
1775049912.270,-190000,3827000,260,2855000,dumpsys_battery
1775049912.761,-190000,3827000,260,2855000,dumpsys_battery
1775049913.255,-587000,3813000,260,2850000,dumpsys_battery
1775049913.876,-587000,3813000,260,2850000,dumpsys_battery
1775049914.412,-587000,3813000,260,2850000,dumpsys_battery
1775049915.030,-587000,3813000,260,2850000,dumpsys_battery
1775049915.650,-587000,3813000,260,2850000,dumpsys_battery
1775049916.195,-587000,3813000,260,2850000,dumpsys_battery
1775049916.628,-587000,3813000,260,2850000,dumpsys_battery
1775049917.215,-587000,3813000,260,2850000,dumpsys_battery
1775049917.800,-587000,3813000,260,2850000,dumpsys_battery
