timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775049842.842,-191000,3825000,260,2855000,dumpsys_battery
1775049843.371,-191000,3825000,260,2855000,dumpsys_battery
1775049844.168,-191000,3825000,260,2855000,dumpsys_battery
1775049844.869,-191000,3825000,260,2855000,dumpsys_battery
1775049845.290,-191000,3825000,260,2855000,dumpsys_battery
1775049845.846,-191000,3825000,260,2855000,dumpsys_battery
1775049846.277,-191000,3825000,260,2855000,dumpsys_battery
1775049846.901,-191000,3825000,260,2855000,dumpsys_battery
1775049847.435,-191000,3825000,260,2855000,dumpsys_battery
1775049847.985,-191000,3825000,260,2855000,dumpsys_battery
1775049848.444,-191000,3825000,260,2855000,dumpsys_battery
1775049848.967,-191000,3825000,260,2855000,dumpsys_battery
1775049849.439,-191000,3825000,260,2855000,dumpsys_battery
1775049850.079,-191000,3825000,260,2855000,dumpsys_battery
1775049850.845,-191000,3825000,260,2855000,dumpsys_battery
1775049851.417,-191000,3825000,260,2855000,dumpsys_battery
