timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775047991.620,-336000,3844000,255,3030000,dumpsys_battery
1775047992.133,-336000,3844000,255,3030000,dumpsys_battery
1775047992.653,-336000,3844000,255,3030000,dumpsys_battery
1775047993.247,-336000,3844000,255,3030000,dumpsys_battery
1775047993.687,-336000,3844000,255,3030000,dumpsys_battery
1775047994.112,-336000,3844000,255,3030000,dumpsys_battery
1775047994.644,-336000,3844000,255,3030000,dumpsys_battery
1775047995.202,-336000,3844000,255,3030000,dumpsys_battery
1775047995.682,-336000,3844000,255,3030000,dumpsys_battery
1775047996.343,-336000,3844000,255,3030000,dumpsys_battery
1775047996.988,-336000,3844000,255,3030000,dumpsys_battery
1775047997.619,-336000,3844000,255,3030000,dumpsys_battery
1775047998.047,-336000,3844000,255,3030000,dumpsys_battery
1775047998.519,-336000,3844000,255,3030000,dumpsys_battery
1775047999.082,-336000,3844000,255,3030000,dumpsys_battery
