timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775049643.571,-285000,3829000,260,2870000,dumpsys_battery
1775049644.086,-285000,3829000,260,2870000,dumpsys_battery
1775049644.634,-285000,3829000,260,2870000,dumpsys_battery
1775049645.150,-285000,3829000,260,2870000,dumpsys_battery
1775049645.597,-285000,3829000,260,2870000,dumpsys_battery
1775049646.132,-285000,3829000,260,2870000,dumpsys_battery
1775049646.537,-285000,3829000,260,2870000,dumpsys_battery
1775049647.125,-285000,3829000,260,2870000,dumpsys_battery
1775049647.685,-285000,3829000,260,2870000,dumpsys_battery
1775049648.310,-285000,3829000,260,2870000,dumpsys_battery
1775049648.932,-285000,3829000,260,2870000,dumpsys_battery
1775049649.526,-285000,3829000,260,2870000,dumpsys_battery
1775049650.082,-285000,3829000,260,2870000,dumpsys_battery
1775049650.569,-285000,3829000,260,2870000,dumpsys_battery
1775049651.119,-285000,3829000,260,2870000,dumpsys_battery
1775049651.744,-285000,3829000,260,2870000,dumpsys_battery
1775049652.299,-285000,3829000,260,2870000,dumpsys_battery
