timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775048586.598,-205000,3835000,257,2975000,dumpsys_battery
1775048587.266,-205000,3835000,257,2975000,dumpsys_battery
1775048587.766,-205000,3835000,257,2975000,dumpsys_battery
1775048588.272,-205000,3835000,257,2975000,dumpsys_battery
1775048588.710,-205000,3835000,257,2975000,dumpsys_battery
1775048589.227,-205000,3835000,257,2975000,dumpsys_battery
1775048589.670,-205000,3835000,257,2975000,dumpsys_battery
1775048590.228,-205000,3835000,257,2975000,dumpsys_battery
1775048590.753,-205000,3835000,257,2975000,dumpsys_battery
1775048591.334,-319000,3832000,257,2975000,dumpsys_battery
1775048591.968,-319000,3832000,257,2975000,dumpsys_battery
1775048592.484,-319000,3832000,257,2975000,dumpsys_battery
1775048593.036,-319000,3832000,257,2975000,dumpsys_battery
1775048593.550,-319000,3832000,257,2975000,dumpsys_battery
1775048594.152,-319000,3832000,257,2975000,dumpsys_battery
1775048594.637,-319000,3832000,257,2975000,dumpsys_battery
1775048595.196,-319000,3832000,257,2975000,dumpsys_battery
