timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775047320.949,-198000,3852000,251,3100000,dumpsys_battery
1775047321.507,-198000,3852000,251,3100000,dumpsys_battery
1775047322.193,-198000,3852000,251,3100000,dumpsys_battery
1775047322.672,-198000,3852000,251,3100000,dumpsys_battery
1775047323.072,-198000,3852000,251,3100000,dumpsys_battery
1775047323.594,-198000,3852000,251,3100000,dumpsys_battery
1775047324.081,-198000,3852000,251,3100000,dumpsys_battery
1775047324.487,-198000,3852000,251,3100000,dumpsys_battery
1775047324.917,-198000,3852000,251,3100000,dumpsys_battery
1775047325.464,-198000,3852000,251,3100000,dumpsys_battery
1775047325.997,-198000,3852000,251,3100000,dumpsys_battery
1775047326.606,-198000,3852000,251,3100000,dumpsys_battery
1775047327.257,-198000,3852000,251,3100000,dumpsys_battery
1775047327.869,-198000,3852000,251,3100000,dumpsys_battery
1775047328.352,-198000,3852000,251,3100000,dumpsys_battery
1775047328.850,-198000,3852000,251,3100000,dumpsys_battery
1775047329.460,-232000,3834000,251,3095000,dumpsys_battery
