timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775048979.963,-190000,3834000,258,2940000,dumpsys_battery
1775048980.551,-190000,3834000,258,2940000,dumpsys_battery
1775048981.251,-190000,3834000,258,2940000,dumpsys_battery
1775048981.682,-190000,3834000,258,2940000,dumpsys_battery
1775048982.112,-1508000,3738000,259,2940000,dumpsys_battery
1775048982.597,-1508000,3738000,259,2940000,dumpsys_battery
1775048983.041,-1508000,3738000,259,2940000,dumpsys_battery
1775048983.659,-1508000,3738000,259,2940000,dumpsys_battery
1775048984.126,-1508000,3738000,259,2940000,dumpsys_battery
1775048984.706,-1508000,3738000,259,2940000,dumpsys_battery
1775048985.193,-1508000,3738000,259,2940000,dumpsys_battery
1775048985.774,-1508000,3738000,259,2940000,dumpsys_battery
1775048986.424,-1508000,3738000,259,2940000,dumpsys_battery
1775048987.088,-1508000,3738000,259,2940000,dumpsys_battery
1775048987.619,-1508000,3738000,259,2940000,dumpsys_battery
1775048988.126,-1508000,3738000,259,2940000,dumpsys_battery
1775048988.675,-1508000,3738000,259,2940000,dumpsys_battery
