timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775049577.000,-225000,3829000,260,2885000,dumpsys_battery
1775049577.667,-225000,3829000,260,2885000,dumpsys_battery
1775049578.304,-225000,3829000,260,2885000,dumpsys_battery
1775049578.780,-225000,3829000,260,2885000,dumpsys_battery
1775049579.236,-225000,3829000,260,2885000,dumpsys_battery
1775049579.822,-225000,3829000,260,2885000,dumpsys_battery
1775049580.250,-225000,3829000,260,2885000,dumpsys_battery
1775049580.790,-225000,3829000,260,2885000,dumpsys_battery
1775049581.383,-225000,3829000,260,2885000,dumpsys_battery
1775049581.933,-225000,3829000,260,2885000,dumpsys_battery
1775049582.420,-225000,3829000,260,2885000,dumpsys_battery
1775049582.953,-503000,3824000,260,2880000,dumpsys_battery
1775049583.407,-503000,3824000,260,2880000,dumpsys_battery
1775049584.107,-503000,3824000,260,2880000,dumpsys_battery
1775049584.566,-503000,3824000,260,2880000,dumpsys_battery
1775049585.082,-503000,3824000,260,2880000,dumpsys_battery
1775049585.650,-503000,3824000,260,2880000,dumpsys_battery
