timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775048453.963,-201000,3839000,257,2990000,dumpsys_battery
1775048454.679,-201000,3839000,257,2990000,dumpsys_battery
1775048455.174,-201000,3839000,257,2990000,dumpsys_battery
1775048455.661,-201000,3839000,257,2990000,dumpsys_battery
1775048456.176,-201000,3839000,257,2990000,dumpsys_battery
1775048456.623,-201000,3839000,257,2990000,dumpsys_battery
1775048457.083,-201000,3839000,257,2990000,dumpsys_battery
1775048457.613,-201000,3839000,257,2990000,dumpsys_battery
1775048458.194,-201000,3839000,257,2990000,dumpsys_battery
1775048458.749,-201000,3839000,257,2990000,dumpsys_battery
1775048459.363,-201000,3839000,257,2990000,dumpsys_battery
1775048459.882,-201000,3839000,257,2990000,dumpsys_battery
1775048460.320,-201000,3839000,257,2990000,dumpsys_battery
1775048460.757,-201000,3839000,257,2990000,dumpsys_battery
1775048461.357,-201000,3839000,257,2990000,dumpsys_battery
