timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775049709.995,-198000,3826000,260,2865000,dumpsys_battery
1775049710.595,-198000,3826000,260,2865000,dumpsys_battery
1775049711.130,-198000,3826000,260,2865000,dumpsys_battery
1775049711.641,-198000,3826000,260,2865000,dumpsys_battery
1775049712.102,-198000,3826000,260,2865000,dumpsys_battery
1775049712.531,-198000,3826000,260,2865000,dumpsys_battery
1775049712.942,-198000,3826000,260,2865000,dumpsys_battery
1775049713.544,-198000,3826000,260,2865000,dumpsys_battery
1775049714.196,-198000,3826000,260,2865000,dumpsys_battery
1775049714.730,-198000,3826000,260,2865000,dumpsys_battery
1775049715.291,-198000,3826000,260,2865000,dumpsys_battery
1775049715.901,-198000,3826000,260,2865000,dumpsys_battery
1775049716.344,-198000,3826000,260,2865000,dumpsys_battery
1775049716.852,-198000,3826000,260,2865000,dumpsys_battery
1775049717.280,-198000,3826000,260,2865000,dumpsys_battery
1775049717.796,-198000,3826000,260,2865000,dumpsys_battery
1775049718.270,-198000,3826000,260,2865000,dumpsys_battery
1775049718.850,-198000,3826000,260,2865000,dumpsys_battery
