timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775048849.247,-195000,3837000,258,2950000,dumpsys_battery
1775048849.754,-195000,3837000,258,2950000,dumpsys_battery
1775048850.355,-195000,3837000,258,2950000,dumpsys_battery
1775048850.868,-195000,3837000,258,2950000,dumpsys_battery
1775048851.263,-195000,3837000,258,2950000,dumpsys_battery
1775048851.794,-195000,3837000,258,2950000,dumpsys_battery
1775048852.216,-195000,3837000,258,2950000,dumpsys_battery
1775048852.773,-195000,3837000,258,2950000,dumpsys_battery
1775048853.492,-195000,3837000,258,2950000,dumpsys_battery
1775048854.011,-195000,3837000,258,2950000,dumpsys_battery
1775048854.590,-195000,3837000,258,2950000,dumpsys_battery
1775048855.248,-195000,3837000,258,2950000,dumpsys_battery
1775048855.704,-195000,3837000,258,2950000,dumpsys_battery
1775048856.210,-195000,3837000,258,2950000,dumpsys_battery
1775048856.682,-195000,3837000,258,2950000,dumpsys_battery
