timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775048783.798,-205000,3837000,258,2960000,dumpsys_battery
1775048784.511,-205000,3837000,258,2960000,dumpsys_battery
1775048785.003,-205000,3837000,258,2960000,dumpsys_battery
1775048785.547,-205000,3837000,258,2960000,dumpsys_battery
1775048785.989,-205000,3837000,258,2960000,dumpsys_battery
1775048786.540,-205000,3837000,258,2960000,dumpsys_battery
1775048787.010,-205000,3837000,258,2960000,dumpsys_battery
1775048787.556,-205000,3837000,258,2960000,dumpsys_battery
1775048788.187,-205000,3837000,258,2960000,dumpsys_battery
1775048788.690,-205000,3837000,258,2960000,dumpsys_battery
1775048789.216,-205000,3837000,258,2960000,dumpsys_battery
1775048789.816,-205000,3837000,258,2960000,dumpsys_battery
1775048790.340,-205000,3837000,258,2960000,dumpsys_battery
1775048790.839,-205000,3837000,258,2960000,dumpsys_battery
1775048791.381,-205000,3837000,258,2960000,dumpsys_battery
