timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775050240.322,-252000,3823000,261,2820000,dumpsys_battery
1775050240.980,-252000,3823000,261,2820000,dumpsys_battery
1775050241.506,-252000,3823000,261,2820000,dumpsys_battery
1775050242.052,-252000,3823000,261,2820000,dumpsys_battery
1775050242.469,-252000,3823000,261,2820000,dumpsys_battery
1775050243.082,-252000,3823000,261,2820000,dumpsys_battery
1775050243.596,-252000,3823000,261,2820000,dumpsys_battery
1775050244.130,-404000,3812000,261,2815000,dumpsys_battery
1775050244.643,-404000,3812000,261,2815000,dumpsys_battery
1775050245.245,-404000,3812000,261,2815000,dumpsys_battery
1775050245.806,-404000,3812000,261,2815000,dumpsys_battery
1775050246.273,-404000,3812000,261,2815000,dumpsys_battery
1775050246.796,-404000,3812000,261,2815000,dumpsys_battery
1775050247.257,-404000,3812000,261,2815000,dumpsys_battery
1775050247.804,-404000,3812000,261,2815000,dumpsys_battery
1775050248.403,-404000,3812000,261,2815000,dumpsys_battery
1775050248.846,-404000,3812000,261,2815000,dumpsys_battery
1775050249.341,-404000,3812000,261,2815000,dumpsys_battery
