timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775047725.825,-274000,3841000,253,3060000,dumpsys_battery
1775047726.436,-274000,3841000,253,3060000,dumpsys_battery
1775047726.959,-274000,3841000,253,3060000,dumpsys_battery
1775047727.452,-274000,3841000,253,3060000,dumpsys_battery
1775047727.874,-274000,3841000,253,3060000,dumpsys_battery
1775047728.393,-274000,3841000,253,3060000,dumpsys_battery
1775047728.829,-274000,3841000,253,3060000,dumpsys_battery
1775047729.289,-274000,3841000,253,3060000,dumpsys_battery
1775047729.855,-274000,3841000,253,3060000,dumpsys_battery
1775047730.421,-274000,3841000,253,3060000,dumpsys_battery
1775047730.880,-274000,3841000,253,3060000,dumpsys_battery
1775047731.434,-274000,3841000,253,3060000,dumpsys_battery
1775047731.899,-274000,3841000,253,3060000,dumpsys_battery
1775047732.482,-274000,3841000,253,3060000,dumpsys_battery
1775047733.000,-274000,3841000,253,3060000,dumpsys_battery
1775047733.594,-274000,3841000,253,3060000,dumpsys_battery
1775047734.648,-274000,3841000,253,3060000,dumpsys_battery
1775047735.223,-274000,3841000,253,3060000,dumpsys_battery
1775047735.669,-274000,3841000,253,3060000,dumpsys_battery
1775047736.223,-274000,3841000,253,3060000,dumpsys_battery
