timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775048718.449,-207000,3838000,258,2965000,dumpsys_battery
1775048718.993,-207000,3838000,258,2965000,dumpsys_battery
1775048719.504,-207000,3838000,258,2965000,dumpsys_battery
1775048719.970,-207000,3838000,258,2965000,dumpsys_battery
1775048720.396,-207000,3838000,258,2965000,dumpsys_battery
1775048720.973,-207000,3838000,258,2965000,dumpsys_battery
1775048721.406,-207000,3838000,258,2965000,dumpsys_battery
1775048722.027,-207000,3838000,258,2965000,dumpsys_battery
1775048722.605,-207000,3838000,258,2965000,dumpsys_battery
1775048723.170,-207000,3838000,258,2965000,dumpsys_battery
1775048723.806,-207000,3838000,258,2965000,dumpsys_battery
1775048724.478,-207000,3838000,258,2965000,dumpsys_battery
1775048724.972,-207000,3838000,258,2965000,dumpsys_battery
1775048725.533,-207000,3838000,258,2965000,dumpsys_battery
1775048726.072,-207000,3838000,258,2965000,dumpsys_battery
