timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775048255.198,-204000,3843000,256,3010000,dumpsys_battery
1775048255.798,-204000,3843000,256,3010000,dumpsys_battery
1775048256.221,-204000,3843000,256,3010000,dumpsys_battery
1775048256.709,-204000,3843000,256,3010000,dumpsys_battery
1775048257.180,-204000,3843000,256,3010000,dumpsys_battery
1775048257.775,-204000,3843000,256,3010000,dumpsys_battery
1775048258.166,-204000,3843000,256,3010000,dumpsys_battery
1775048258.712,-204000,3843000,256,3010000,dumpsys_battery
1775048259.282,-204000,3843000,256,3010000,dumpsys_battery
1775048259.863,-204000,3843000,256,3010000,dumpsys_battery
1775048260.483,-204000,3843000,256,3010000,dumpsys_battery
1775048261.031,-301000,3833000,256,3010000,dumpsys_battery
1775048261.467,-301000,3833000,256,3010000,dumpsys_battery
1775048261.913,-301000,3833000,256,3010000,dumpsys_battery
1775048262.439,-301000,3833000,256,3010000,dumpsys_battery
